Marca,Modelo,Ano,Kilometraje,price,Combustible,Transmision,source
Peugeot,208,2021.0,45000.0,8490000.0,Bencina,Manual,yapo
Citroen,C3,2017.0,120000.0,6490000.0,Diesel,Manual,yapo
Mg,Mg 5,2024.0,9000.0,8890000.0,Bencina,Manual,yapo
Nissan,Kicks,2017.0,100000.0,8950000.0,Bencina,Manual,yapo
Dodge,Journey,2018.0,97000.0,9290000.0,Bencina,Automatica,yapo
Citroen,Jumper,2025.0,57000.0,25780000.0,Diesel,Manual,yapo
Kia,Rio,2024.0,41000.0,13280000.0,Bencina,Manual,yapo
Volkswagen,Amarok,2022.0,99000.0,27850000.0,Diesel,Automatica,yapo
Ssangyong,Stavic,2017.0,190000.0,4490000.0,Diesel,Manual,yapo
Audi,A5,2015.0,137000.0,12990000.0,Bencina,Automatica,yapo
Chevrolet,N400,2021.0,115000.0,6290000.0,Bencina,Manual,yapo
Mazda,Cx-3,2018.0,170000.0,10990000.0,Bencina,Manual,yapo
Jeep,Grand Cherokee,2020.0,100000.0,23990000.0,Bencina,Automatica,yapo
Haval,H6,2024.0,44300.0,16590000.0,Bencina,Automatica,yapo
Peugeot,Partner,2021.0,65071.0,9800000.0,Diesel,Manual,yapo
Ford,F-150,2017.0,112527.0,17800000.0,Bencina,Automatica,yapo
Volkswagen,Amarok,2022.0,56000.0,29580000.0,Diesel,Automatica,yapo
Ford,Ranger,2022.0,65000.0,19880000.0,Diesel,Manual,yapo
Nissan,X-Trail,2023.0,46000.0,20980000.0,Bencina,Automatica,yapo
Changan,Cs15,2026.0,4000.0,10490000.0,Bencina,Automatica,yapo
Great Wall,Poer,2024.0,19100.0,23990000.0,Diesel,Automatica,yapo
Volkswagen,Saveiro,2022.0,40900.0,9990000.0,Bencina,Manual,yapo
Ssangyong,Rexton,2015.0,256000.0,7370000.0,Bencina,Manual,yapo
Hyundai,Santa Fe,2023.0,26000.0,23990000.0,Bencina,Automatica,yapo
Subaru,Outback,2022.0,112886.0,25590000.0,Bencina,Automatica,yapo
Subaru,Impreza,2024.0,23281.0,21690000.0,Bencina,Automatica,yapo
Peugeot,Partner,2023.0,63066.0,13280000.0,Diesel,Manual,yapo
Subaru,Forester,2026.0,6500.0,33990000.0,Bencina,Automatica,yapo
Bmw,M4,2022.0,61000.0,76990000.0,Bencina,Automatica,yapo
Chevrolet,Groove,2025.0,10450.0,12499990.0,Bencina,Manual,yapo
Bmw,Other,2023.0,37782.0,79990000.0,Electrico,Automatica,yapo
Chevrolet,Sail,2023.0,46000.0,8980000.0,Bencina,Manual,yapo
Maxus,T60,2022.0,121000.0,11980000.0,Diesel,Manual,yapo
Volkswagen,Polo,2021.0,65000.0,11880000.0,Bencina,Automatica,yapo
Haval,Other,2024.0,48067.0,19890000.0,Bencina,Automatica,yapo
Suzuki,Baleno,2024.0,45518.0,10990000.0,Bencina,Manual,yapo
Mercedes Benz,Glc 250,2020.0,141626.0,26900000.0,Diesel,Automatica,yapo
Jeep,Grand Cherokee,2021.0,92867.0,23990000.0,Bencina,Automatica,yapo
Mercedes Benz,Gla200,2015.0,68000.0,16780000.0,Bencina,Automatica,yapo
Ford,F-150,2016.0,122485.0,21900000.0,Bencina,Automatica,yapo
Maxus,T60,2022.0,266285.0,9200000.0,Diesel,Manual,yapo
Bmw,X6,2022.0,22800.0,73990000.0,Bencina,Automatica,yapo
Mercedes Benz,S500,2017.0,29500.0,67990000.0,Bencina,Automatica,yapo
Chevrolet,Prisma,2020.0,100000.0,5980000.0,Bencina,Manual,yapo
Maxus,T90 4X4 2.0 Aut,2023.0,110000.0,19990000.0,Diesel,Automatica,yapo
Mazda,New Cx-9 R 2.5 Aut,2021.0,60000.0,22990000.0,Bencina,Automatica,yapo
Geely,Coolray 1.5 Comfort 7Dct At,2022.0,59126.0,11380000.0,Bencina,Manual,yapo
Peugeot,1.2 Active Pack Puretech 130 Mt,2022.0,66002.0,12780000.0,Bencina,Manual,yapo
Ford,Territory 1.5 Titanium At,2025.0,22439.0,18680000.0,Bencina,Manual,yapo
Peugeot,301,2017.0,48000.0,6990000.0,Bencina,Manual,yapo
Chevrolet,Captiva 1.5 Ltz At,2022.0,47593.0,12980000.0,Bencina,Manual,yapo
Zx Auto,Terralord,2023.0,44243.0,10500000.0,Diesel,Otro,yapo
Subaru,Outback,2024.0,24000.0,31980000.0,Bencina,Automatica,yapo
Bmw,X3,2019.0,78100.0,29490000.0,Bencina,Automatica,yapo
Chevrolet,Tracker,2024.0,16999.0,11790000.0,Bencina,Manual,yapo
Chevrolet,Traverse,2019.0,86000.0,19990000.0,Bencina,Automatica,yapo
Toyota,Hilux,2021.0,124132.0,15990000.0,Bencina,Manual,yapo
Ford,Territory,2024.0,36000.0,17990000.0,Bencina,Automatica,yapo
Kia,Soluto,2023.0,36298.0,9490000.0,Bencina,Manual,yapo
Great Wall,Wingle 5 2.2 D/C Elite Plus Mt,2023.0,39429.0,10580000.0,Bencina,Manual,yapo
Kia,Sonet 1.5 Ex Mt,2023.0,48263.0,12780000.0,Bencina,Manual,yapo
Dfsk,D1 Luxury 4X4 At + Lam,2025.0,10087.0,17980000.0,Bencina,Manual,yapo
Chevrolet,Spin,2018.0,174000.0,7590000.0,Bencina,Manual,yapo
Kia,Other,2019.0,52386.0,10990000.0,Bencina,Automatica,yapo
Toyota,Rav4,2022.0,87000.0,30900000.0,Hibrido,Automatica,yapo
Mercedes Benz,Glc 200,2023.0,58100.0,44590000.0,Bencina,Automatica,yapo
Chevrolet,Silverado,2018.0,147200.0,23500000.0,Bencina,Automatica,yapo
Toyota,Rush,2018.0,62000.0,10990000.0,Bencina,Automatica,yapo
Toyota,Rush,2024.0,44257.0,14990000.0,Bencina,Automatica,yapo
Hyundai,Tucson,2024.0,60544.0,18900000.0,Bencina,Automatica,yapo
Mercedes Benz,A200,2023.0,31100.0,27990000.0,Bencina,Automatica,yapo
Mercedes Benz,Sprinter,2024.0,71697.0,79000000.0,Diesel,Automatica,yapo
Bmw,X3,2021.0,89200.0,30490000.0,Bencina,Automatica,yapo
Ford,Raptor,2023.0,28000.0,68990000.0,Bencina,Automatica,yapo
Nissan,Navara,2023.0,187823.0,15900000.0,Diesel,Manual,yapo
Hyundai,Tucson,2024.0,52000.0,20990000.0,Bencina,Automatica,yapo
Subaru,Outback,2023.0,72875.0,27690000.0,Bencina,Automatica,yapo
Mercedes Benz,Gla 220,2019.0,48126.0,22900000.0,Diesel,Automatica,yapo
Ram,1500,2020.0,138410.0,28900000.0,Bencina,Automatica,yapo
Toyota,Rav 4,2016.0,130000.0,11870000.0,Bencina,Automatica,yapo
Toyota,Rav4,2009.0,188000.0,6670000.0,Bencina,Automatica,yapo
Chevrolet,Onix,2023.0,70800.0,7990000.0,Bencina,Manual,yapo
Ford,Ecosport,2020.0,55000.0,9000000.0,Bencina,Manual,yapo
Ds,7 Crossback,2024.0,27000.0,23990000.0,Bencina,Automatica,yapo
Chevrolet,Tracker Ls 1.8,2015.0,160000.0,6490000.0,Bencina,Manual,yapo
Chevrolet,Tahoe,2021.0,62300.0,43490000.0,Bencina,Automatica,yapo
Geely,Coolray Lite Prime,2026.0,11.0,11180000.0,Bencina,Manual,yapo
Chevrolet,Tracker,2022.0,87500.0,11490000.0,Bencina,Automatica,yapo
Subaru,Outback,2018.0,122000.0,13490000.0,Bencina,Automatica,yapo
Chevrolet,Onix,2024.0,28000.0,11990000.0,Bencina,Automatica,yapo
Peugeot,208,2024.0,76100.0,11990000.0,Bencina,Automatica,yapo
Subaru,Impreza 2.0 Xs At 4X4,2022.0,80919.0,14780000.0,Bencina,Manual,yapo
Mazda,Mazda 3 2.0 Sedán V 7G Mt,2023.0,48051.0,17080000.0,Bencina,Manual,yapo
Foton,Foton Auman 1319L 2020 ],2020.0,518000.0,22900000.0,Diesel,Manual,yapo
Toyota,Rav4,2022.0,65269.0,17990000.0,Bencina,Manual,yapo
Peugeot,308,2024.0,24500.0,16490000.0,Bencina,Manual,yapo
Seat,Ibiza,2024.0,25000.0,12990000.0,Bencina,Automatica,yapo
Subaru,Outback,2017.0,245000.0,9990000.0,Bencina,Automatica,yapo
Peugeot,2008,2023.0,65000.0,13990000.0,Diesel,Automatica,yapo
Ford,Focus,2015.0,196286.0,5900000.0,Bencina,Automatica,yapo
Hyundai,Hd35,2021.0,117000.0,20980000.0,Diesel,Manual,yapo
Kia,Seltos 1.6 Ex Mt,2023.0,59020.0,14480000.0,Bencina,Manual,yapo
Renault,Kwid,2024.0,29292.0,8090000.0,Bencina,Manual,yapo
Jac,Js8,2024.0,34278.0,12590000.0,Bencina,Automatica,yapo
Opel,1.2 Edition Mt,2024.0,39080.0,11280000.0,Bencina,Manual,yapo
Jac,Js4,2023.0,28200.0,9590000.0,Bencina,Manual,yapo
Mazda,3,2022.0,22000.0,15980000.0,Bencina,Manual,yapo
