Marca,Modelo,Ano,Kilometraje,Condicion,Combustible,Color,Transmision,price,location,Comuna,Tipo_de_vendedor,Category
Mitsubishi,L200,2022,178180,Usado,Diesel,ROJO,Manual,14900000,Bío Bío,Los Ángeles,Vendedor de autos.,"Autos, Camionetas y 4x4"
Audi,Q5,2011,169100,Usado,Diesel,Plata,Automática,10800000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Renault,Logan,2008,75000,Usado,Bencina,Plata,Manual,3950000,Metropolitana de Santiago,La Reina,Vendedor de autos.,"Autos, camionetas y 4x4"
MG,3,2020,34000,Usado,Bencina,Negro,Manual,6990000,Coquimbo,La Serena,Vendedor de autos.,"Autos, Camionetas y 4x4"
Toyota,Aygo,2020,45000,Usado,Bencina,Gris,Manual,6900000,Araucanía,Temuco,Vendedor de autos.,"Autos, camionetas y 4x4"
Peugeot,3008,2020,72300,Usado,Diesel,bordeaux,Manual,14599999,Valparaíso,Valparaiso,Vendedor de autos.,"Autos, camionetas y 4x4"
Peugeot,208,2016,167000,Usado,Bencina,Blanco,Manual,6300000,Metropolitana de Santiago,Santiago,Vendedor de autos.,"Autos, Camionetas y 4x4"
Toyota,Rav4,2015,155663,Usado,Bencina,Plata,Automática,11690000,Los Lagos,Osorno,Vendedor de autos.,"Autos, Camionetas y 4x4"
Kia,Morning,2017,78000,Usado,Bencina,Blanco,Manual,6200000,Los Lagos,Ancud,Vendedor de autos.,"Autos, camionetas y 4x4"
Chevrolet,Captiva,2020,74200,Usado,Bencina,Plata,Automática,10990000,Metropolitana de Santiago,Chicureo,Vendedor de autos.,"Autos, Camionetas y 4x4"
Opel,Adam,2023,44355,Usado,Bencina,Cs/gris Plata,Manual,12390000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,"Autos, Camionetas y 4x4"
Lexus,Is,2008,150000,Usado,Bencina,Plata,Automática,8200000,Metropolitana de Santiago,La Florida,Vendedor de autos.,"Autos, camionetas y 4x4"
Jetour,X70,2024,29000,Usado,Bencina,BLANCO,Automática,12990000,Metropolitana de Santiago,San Bernardo,Vendedor de autos.,"Autos, Camionetas y 4x4"
Jeep,Compass,2022,130376,Usado,Bencina,Blanco Blanco,Automática,14290000,Metropolitana de Santiago,Cerrillos,Vendedor de autos.,"Autos, camionetas y 4x4"
Suzuki,Jimny,2024,36700,Usado,Bencina,Gris,Manual,16500000,Metropolitana de Santiago,Santiago,Vendedor de autos.,"Autos, camionetas y 4x4"
Hyundai,Santa Fe,2012,105000,Usado,Bencina,Negro,Manual,7200000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Volkswagen,Gol,2016,69509,Usado,Bencina,Gris,Manual,7700000,Metropolitana de Santiago,Pudahuel,Vendedor de autos.,Autos-vehículo
Hyundai,Tucson,2020,85400,Usado,Bencina,Blanco,Manual,14000000,Los Lagos,Calbuco,Vendedor de autos.,Autos-vehículo
Nissan,X-Trail,2021,92000,Usado,Bencina,Gris,Automática,13500000,Valparaíso,Los Andes,Vendedor de autos.,Autos-vehículo
Opel,Mokka,2022,32000,Usado,Bencina,Verde,Automática,14000000,Valparaíso,Villa Alemana,Vendedor de autos.,Autos-vehículo
Chery,Tiggo 8 Pro,2022,147000,Usado,Bencina,Negro,Automática,14000000,Metropolitana de Santiago,Lampa,Vendedor de autos.,Autos-vehículo
Ram,1000,2021,58000,Usado,Diesel,Blanco,Automática,21500000,Metropolitana de Santiago,Colina,Vendedor de autos.,Autos-vehículo
JAC,Js8,2022,45000,Usado,Bencina,Rojo,Manual,14000000,Los Lagos,Frutillar,Vendedor de autos.,Autos-vehículo
Mercedes-Benz,Sprinter 316,2014,125000,Usado,Bencina,Blanco,Automática,14000000,Bío Bío,Chiguayante,Vendedor de autos.,Autos-vehículo
Fiat,500,2022,32500,Usado,Bencina,Gris,Manual,13800000,Metropolitana de Santiago,Huechuraba,Vendedor de autos.,Autos-vehículo
Suzuki,Swift,2018,104175,Usado,Bencina,Rojo,Manual,5600000,Metropolitana de Santiago,Peñaflor,Vendedor de autos.,Autos-vehículo
Subaru,Impreza,1998,100000,Usado,Bencina,Blanco,Automática,800000,Metropolitana de Santiago,Providencia,Vendedor de autos.,Autos-vehículo
Changan,Cs35,2016,95000,Usado,Bencina,Rojo,Manual,5400000,Bío Bío,Hualpén,Vendedor de autos.,Autos-vehículo
Mazda,3,2007,178541,Usado,Bencina,Gris,Automática,5200000,Metropolitana de Santiago,La Florida,Vendedor de autos.,Autos-vehículo
Audi,A3,2024,23000,Usado,Bencina,Rojo,Automática,27990000,Araucanía,Temuco,Vendedor de autos.,Autos-vehículo
